source_name,pool_name,official_url,license_bucket,raw_license_text_or_page,download_status,format_main,blender_compatible,has_mesh_likely,has_uv_likely,has_pbr_likely,has_controlled_lighting,has_real_hdr_lighting,has_material_prior,fit_for_pool_A,fit_for_pool_B,fit_for_pool_C,fit_for_pool_D,fit_for_pool_E,fit_for_pool_F,risk_notes
ABO_locked_core,pool_A_direct_object_supervision,https://registry.opendata.aws/amazon-berkeley-objects/,cc_by_nc_4_0,https://registry.opendata.aws/amazon-berkeley-objects/ (official registry lists CC BY-NC 4.0),local_core_available,glb,true,true,true,true,false,false,false,true,false,false,false,false,false,non-commercial license; keep separate from freely redistributable release bundles
3D-FUTURE_candidate,pool_A_direct_object_supervision,https://tianchi.aliyun.com/dataset/98063,custom_tianchi_terms,https://tianchi.aliyun.com/specials/promotion/license,local_source_available,obj+mtl+texture,true,true,true,false,false,false,false,true,false,false,false,false,false,portal terms apply; object assets are present locally but mostly need deterministic conversion and likely material bake
Objaverse-XL_filtered_candidate,pool_A_direct_object_supervision,https://objaverse.allenai.org/docs/objaverse-xl/,mixed_per_object_license,https://github.com/allenai/objaverse-xl (annotations include license and source fields),metadata_only,glb,true,true,true,unknown,false,false,false,true,false,false,false,false,false,"do not bulk download before pilot; local asset chain missing, license is per-object and must remain split by bucket"
OLATverse,pool_B_controlled_highlight_supervision,https://vcai.mpi-inf.mpg.de/projects/OLATverse/,license_not_posted_project_page,https://vcai.mpi-inf.mpg.de/projects/OLATverse/ (project page; full data release pending),project_page_only,image sequences,false,false,false,false,true,true,false,false,true,false,false,false,false,"excellent signal set on project page, but release terms and bulk access path still need confirmation"
OpenIllumination,pool_B_controlled_highlight_supervision,https://huggingface.co/datasets/OpenIllumination/OpenIllumination,cc_by_4_0,https://huggingface.co/datasets/OpenIllumination/OpenIllumination,remote_pilot_only,image sequences,false,false,false,false,true,false,false,false,true,false,false,false,false,"license is clear and favorable; masks are explicit, but normals/albedo/specular separation is not clearly advertised on the dataset card"
ICTPolarReal,pool_B_controlled_highlight_supervision,https://arxiv.org/abs/2501.16398,license_not_posted_preprint_project,https://jingyangcarl.github.io/ICTPolarReal/ (project page referenced by preprint),paper_project_only,polarized capture sequences,false,false,false,false,true,false,false,false,true,false,false,false,false,"promising real polarized supervision, but access path and license still need project-side confirmation"
3DCoMPaT++,pool_C_part_material_highlight_semantics,https://3dcompat-dataset.org/v2/,custom_form_gated_license,https://3dcompat-dataset.org/dl-dataset/ (download gated by license form),not_started,mesh+part annotations,true,true,unknown,false,false,false,false,false,false,true,false,false,false,"strong part/material semantics fit, but download is gated and not yet piloted locally"
PolyHaven_HDRI,pool_D_natural_light_hdri_bank,https://polyhaven.com/hdris,cc0,https://polyhaven.com/license,api_curation_ready,hdr/exr,true,false,false,false,false,true,false,false,false,false,true,false,false,best low-risk HDRI source; direct API lets us curate pilot without downloading the full library
Laval_HDR,pool_D_natural_light_hdri_bank,https://lvsn.github.io/fastindoorlight/,custom_research_project_terms,https://indoor.hdrdb.com/ and project page above,pilot_slots_only,hdr panoramas,true,false,false,false,false,true,false,false,false,false,true,false,false,"good indoor HDR complement, but naming/indexing and redistribution terms still need explicit confirmation"
OpenSVBRDF,pool_E_material_prior_bank,https://opensvbrdf.github.io/,custom_portal_terms_unstated,https://opensvbrdf.github.io/,not_started,svbrdf maps,false,false,false,true,false,false,true,false,false,false,false,true,false,"useful material prior bank, but license/download flow still need manual confirmation"
MatSynth,pool_E_material_prior_bank,https://huggingface.co/datasets/gvecchio/MatSynth,mixed_cc0_cc_by,https://huggingface.co/datasets/gvecchio/MatSynth (dataset card lists CC0 and CC-BY assets),remote_pilot_only,rendered materials + metadata,false,false,false,true,false,false,true,false,false,false,false,true,false,mixed permissive licensing is manageable if assets stay bucketed by license tag
Stanford-ORB,pool_F_real_world_eval_holdout,https://stanfordorb.github.io/,benchmark_project_terms_unstated,https://github.com/StanfordORB/Stanford-ORB,not_started,real-world benchmark captures,false,false,false,false,false,false,false,false,false,false,false,false,true,keep strictly as eval holdout until benchmark terms are confirmed
OmniObject3D,pool_F_real_world_eval_holdout,https://omniobject3d.github.io/,portal_terms_plus_dataset_specific,https://openxlab.org.cn/datasets/detail/omniobject3d/OmniObject3D-New,portal_login_likely_required,multi-view captures + models,true,true,unknown,unknown,false,false,false,false,false,false,false,false,true,"good real-world eval complement, but portal download terms still need explicit review"
